time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
5.916,0.06,-0.03,0.99,-0.20,0.10,-0.10,0.05,0.12,-0.09,0.00
5.994,0.04,-0.03,1.04,-0.20,0.10,-0.10,0.05,0.12,-0.09,0.00
5.995,0.04,-0.03,1.04,-0.20,0.10,-0.10,0.08,0.20,-0.16,0.00
5.996,0.04,-0.03,1.04,-0.01,0.07,-1.11,0.08,0.20,-0.16,0.00
6.037,0.08,-0.04,1.20,-0.01,0.07,-1.11,0.08,0.20,-0.16,0.00
6.048,0.08,-0.04,1.20,-0.01,0.07,-1.11,0.11,-0.05,-0.05,0.00
6.048,0.08,-0.04,1.20,0.14,-0.06,2.00,0.11,-0.05,-0.05,0.00
7.237,0.03,-0.05,0.79,-0.03,-0.08,2.15,-0.02,0.16,-0.04,0.00
7.238,0.03,-0.05,0.79,-0.03,-0.08,2.15,-0.06,0.13,0.01,0.00
7.238,0.03,-0.05,0.79,0.01,-0.16,-2.08,-0.06,0.13,0.01,0.00
7.307,0.03,-0.05,0.79,0.01,-0.16,-2.08,-0.03,0.03,-0.04,0.00
7.308,0.03,-0.05,0.79,-0.10,-0.09,1.70,-0.03,0.03,-0.04,0.00
7.309,0.02,-0.03,1.08,-0.10,-0.09,1.70,-0.03,0.03,-0.04,0.00
7.362,0.08,-0.02,1.00,-0.10,-0.09,1.70,-0.03,0.03,-0.04,0.00
7.39,0.08,-0.02,1.00,-0.10,-0.09,1.70,0.04,-0.18,0.01,0.00
7.392,0.08,-0.02,1.00,0.34,0.13,0.05,0.04,-0.18,0.01,0.00
7.439,0.04,-0.04,1.00,0.34,0.13,0.05,0.04,-0.18,0.01,0.00
7.44,0.04,-0.04,1.00,0.34,0.13,0.05,0.01,-0.12,0.04,0.00
7.44,0.04,-0.04,1.00,-0.13,-0.05,0.01,0.01,-0.12,0.04,0.00
7.505,0.05,-0.05,1.02,-0.13,-0.05,0.01,0.01,-0.12,0.04,0.00
7.506,0.05,-0.05,1.02,-0.13,-0.05,0.01,-0.05,-0.03,0.04,0.00
7.507,0.05,-0.05,1.02,-0.04,-0.07,0.18,-0.05,-0.03,0.04,0.00
7.555,0.05,-0.05,1.06,-0.04,-0.07,0.18,-0.05,-0.03,0.04,0.00
7.567,0.05,-0.05,1.06,-0.04,-0.07,0.18,-0.07,0.02,0.06,0.00
7.568,0.05,-0.05,1.06,-0.18,-0.05,-0.18,-0.07,0.02,0.06,0.00
7.622,0.07,-0.05,1.01,-0.18,-0.05,-0.18,-0.07,0.02,0.06,0.00
7.632,0.07,-0.05,1.01,-0.18,-0.05,-0.18,-0.05,0.06,0.03,0.00
7.632,0.07,-0.05,1.01,0.16,-0.09,0.13,-0.05,0.06,0.03,0.00
7.699,0.06,-0.05,1.02,0.16,-0.09,0.13,-0.05,0.06,0.03,0.00
7.7,0.06,-0.05,1.02,0.16,-0.09,0.13,-0.02,-0.08,0.06,0.00
7.701,0.06,-0.05,1.02,0.05,-0.01,0.23,-0.02,-0.08,0.06,0.00
7.769,0.04,-0.05,1.00,0.05,-0.01,0.23,-0.02,-0.08,0.06,0.00
7.771,0.04,-0.05,1.00,0.05,-0.01,0.23,-0.01,0.07,0.00,0.00
7.772,0.04,-0.05,1.00,0.25,-0.02,0.01,-0.01,0.07,0.00,0.00
7.835,0.06,-0.05,0.98,0.25,-0.02,0.01,-0.01,0.07,0.00,0.00
7.837,0.06,-0.05,0.98,0.25,-0.02,0.01,-0.00,-0.16,0.09,0.00
7.837,0.06,-0.05,0.98,-0.01,0.00,-0.13,-0.00,-0.16,0.09,0.00
7.894,0.07,-0.06,1.04,-0.01,0.00,-0.13,-0.00,-0.16,0.09,0.00
7.896,0.07,-0.06,1.04,-0.01,0.00,-0.13,-0.03,-0.01,0.07,0.00
7.896,0.07,-0.06,1.04,0.05,-0.09,0.38,-0.03,-0.01,0.07,0.00
7.951,0.08,-0.05,1.00,0.05,-0.09,0.38,-0.03,-0.01,0.07,0.00
7.964,0.08,-0.05,1.00,0.05,-0.09,0.38,-0.01,-0.04,0.07,0.00
7.964,0.08,-0.05,1.00,0.09,-0.01,0.07,-0.01,-0.04,0.07,0.00
8.017,0.06,-0.05,1.01,0.09,-0.01,0.07,-0.01,-0.04,0.07,0.00
8.028,0.06,-0.05,1.01,0.09,-0.01,0.07,0.03,-0.01,-0.02,0.00
8.028,0.06,-0.05,1.01,-0.01,0.03,0.07,0.03,-0.01,-0.02,0.00
8.083,0.06,-0.05,1.01,-0.01,0.03,0.07,0.03,-0.01,-0.02,0.00
8.093,0.06,-0.05,1.01,-0.01,0.03,0.07,0.04,-0.01,-0.06,0.00
8.094,0.06,-0.05,1.01,-0.03,0.02,0.08,0.04,-0.01,-0.06,0.00
8.149,0.06,-0.05,1.00,-0.03,0.02,0.08,0.04,-0.01,-0.06,0.00
8.161,0.06,-0.05,1.00,-0.03,0.02,0.08,0.01,0.07,0.00,0.00
8.162,0.06,-0.05,1.00,-0.06,0.02,0.01,0.01,0.07,0.00,0.00
8.22,0.08,-0.05,1.00,-0.06,0.02,0.01,0.01,0.07,0.00,0.00
8.226,0.08,-0.05,1.00,-0.06,0.02,0.01,0.02,-0.03,-0.00,0.00
8.226,0.08,-0.05,1.00,0.11,0.01,0.00,0.02,-0.03,-0.00,0.00
8.281,0.05,-0.05,1.04,0.11,0.01,0.00,0.02,-0.03,-0.00,0.00
8.292,0.05,-0.05,1.04,0.11,0.01,0.00,-0.00,-0.00,-0.01,0.00
8.293,0.05,-0.05,1.04,-0.21,-0.00,0.45,-0.00,-0.00,-0.01,0.00
8.347,0.07,-0.05,0.98,-0.21,-0.00,0.45,-0.00,-0.00,-0.01,0.00
8.359,0.07,-0.05,0.98,-0.21,-0.00,0.45,0.01,-0.00,-0.05,0.00
8.36,0.07,-0.05,0.98,0.07,-0.00,-0.13,0.01,-0.00,-0.05,0.00
8.417,0.08,-0.05,1.00,0.07,-0.00,-0.13,0.01,-0.00,-0.05,0.00
8.424,0.08,-0.05,1.00,0.07,-0.00,-0.13,-0.04,-0.08,0.05,0.00
8.425,0.08,-0.05,1.00,-0.19,-0.03,0.04,-0.04,-0.08,0.05,0.00
8.479,0.07,-0.05,1.00,-0.19,-0.03,0.04,-0.04,-0.08,0.05,0.00
8.49,0.07,-0.05,1.00,-0.19,-0.03,0.04,0.00,0.06,-0.03,0.00
8.49,0.07,-0.05,1.00,-0.13,0.12,0.10,0.00,0.06,-0.03,0.00
8.545,0.05,-0.03,1.01,-0.13,0.12,0.10,0.00,0.06,-0.03,0.00
8.564,0.05,-0.03,1.01,-0.13,0.12,0.10,0.07,0.03,-0.08,0.00
8.566,0.05,-0.03,1.01,-0.12,0.09,0.10,0.07,0.03,-0.08,0.00
8.611,0.04,-0.03,1.02,-0.12,0.09,0.10,0.07,0.03,-0.08,0.00
8.622,0.04,-0.03,1.02,-0.12,0.09,0.10,0.04,0.10,-0.12,0.00
8.622,0.04,-0.03,1.02,-0.17,0.05,0.21,0.04,0.10,-0.12,0.00
8.677,0.06,-0.05,1.01,-0.17,0.05,0.21,0.04,0.10,-0.12,0.00
8.688,0.06,-0.05,1.01,-0.17,0.05,0.21,-0.00,0.01,-0.03,0.00
8.688,0.06,-0.05,1.01,-0.06,0.02,0.34,-0.00,0.01,-0.03,0.00
8.744,0.06,-0.04,1.00,-0.06,0.02,0.34,-0.00,0.01,-0.03,0.00
8.755,0.06,-0.04,1.00,-0.06,0.02,0.34,0.00,0.01,-0.05,0.00
8.756,0.06,-0.04,1.00,-0.02,0.00,0.05,0.00,0.01,-0.05,0.00
8.809,0.08,-0.04,1.01,-0.02,0.00,0.05,0.00,0.01,-0.05,0.00
8.82,0.08,-0.04,1.01,-0.02,0.00,0.05,0.00,-0.11,0.06,0.00
8.821,0.08,-0.04,1.01,0.17,-0.04,0.10,0.00,-0.11,0.06,0.00
8.875,0.07,-0.05,1.00,0.17,-0.04,0.10,0.00,-0.11,0.06,0.00
8.886,0.07,-0.05,1.00,0.17,-0.04,0.10,-0.06,-0.01,0.12,0.00
8.886,0.07,-0.05,1.00,-0.01,-0.03,0.24,-0.06,-0.01,0.12,0.00
8.941,0.07,-0.03,1.00,-0.01,-0.03,0.24,-0.06,-0.01,0.12,0.00
8.954,0.07,-0.03,1.00,-0.01,-0.03,0.24,0.01,-0.04,0.01,0.00
8.955,0.07,-0.03,1.00,-0.04,0.09,-0.01,0.01,-0.04,0.01,0.00
9.008,0.06,-0.03,1.03,-0.04,0.09,-0.01,0.01,-0.04,0.01,0.00
9.018,0.06,-0.03,1.03,-0.04,0.09,-0.01,0.06,0.05,-0.12,0.00
9.019,0.06,-0.03,1.03,-0.05,0.08,0.31,0.06,0.05,-0.12,0.00
9.073,0.07,-0.03,1.01,-0.05,0.08,0.31,0.06,0.05,-0.12,0.00
9.084,0.07,-0.03,1.01,-0.05,0.08,0.31,0.04,-0.02,-0.02,0.00
9.084,0.07,-0.03,1.01,0.09,-0.04,0.08,0.04,-0.02,-0.02,0.00
9.139,0.06,-0.04,1.01,0.09,-0.04,0.08,0.04,-0.02,-0.02,0.00
9.152,0.06,-0.04,1.01,0.09,-0.04,0.08,0.00,0.00,-0.03,0.00
9.153,0.06,-0.04,1.01,0.08,-0.01,0.30,0.00,0.00,-0.03,0.00
9.215,0.12,-0.00,1.06,0.08,-0.01,0.30,0.00,0.00,-0.03,0.00
9.217,0.12,-0.00,1.06,0.08,-0.01,0.30,0.12,-0.22,-0.03,0.00
9.218,0.12,-0.00,1.06,0.44,0.24,0.65,0.12,-0.22,-0.03,0.00
9.271,0.09,-0.01,1.04,0.44,0.24,0.65,0.12,-0.22,-0.03,0.00
9.282,0.09,-0.01,1.04,0.44,0.24,0.65,0.16,-0.17,-0.12,0.00
9.282,0.09,-0.01,1.04,-0.06,0.09,0.42,0.16,-0.17,-0.12,0.00
9.337,0.11,-0.02,1.01,-0.06,0.09,0.42,0.16,-0.17,-0.12,0.00
9.349,0.11,-0.02,1.01,-0.06,0.09,0.42,0.03,-0.05,-0.02,0.00
9.35,0.11,-0.02,1.01,0.15,-0.03,0.14,0.03,-0.05,-0.02,0.00
9.413,0.11,-0.02,0.97,0.15,-0.03,0.14,0.03,-0.05,-0.02,0.00
9.418,0.11,-0.02,0.97,0.15,-0.03,0.14,-0.01,-0.09,0.06,0.00
9.419,0.11,-0.02,0.97,0.10,-0.02,-0.23,-0.01,-0.09,0.06,0.00
9.469,0.05,0.02,0.94,0.10,-0.02,-0.23,-0.01,-0.09,0.06,0.00
9.48,0.05,0.02,0.94,0.10,-0.02,-0.23,0.05,0.21,-0.17,0.00
9.48,0.05,0.02,0.94,-0.43,0.31,-0.51,0.05,0.21,-0.17,0.00
9.535,0.19,0.04,0.98,-0.43,0.31,-0.51,0.05,0.21,-0.17,0.00
9.547,0.19,0.04,0.98,-0.43,0.31,-0.51,0.29,-0.44,-0.11,0.00
9.548,0.19,0.04,0.98,0.73,0.36,-0.12,0.29,-0.44,-0.11,0.00
9.61,0.12,0.05,0.95,0.73,0.36,-0.12,0.29,-0.44,-0.11,0.00
9.612,0.12,0.05,0.95,0.73,0.36,-0.12,0.28,-0.35,-0.12,0.00
9.613,0.12,0.05,0.95,-0.18,0.22,-0.43,0.28,-0.35,-0.12,0.00
9.667,0.10,0.02,1.02,-0.18,0.22,-0.43,0.28,-0.35,-0.12,0.00
9.678,0.10,0.02,1.02,-0.18,0.22,-0.43,-0.01,0.26,-0.13,0.00
9.678,0.10,0.02,1.02,-0.30,-0.09,0.24,-0.01,0.26,-0.13,0.00
9.733,0.14,0.04,0.99,-0.30,-0.09,0.24,-0.01,0.26,-0.13,0.00
9.745,0.14,0.04,0.99,-0.30,-0.09,0.24,0.05,-0.03,0.03,0.00
9.746,0.14,0.04,0.99,0.16,0.13,-0.03,0.05,-0.03,0.03,0.00
9.809,0.13,0.06,0.99,0.16,0.13,-0.03,0.05,-0.03,0.03,0.00
9.811,0.13,0.06,0.99,0.16,0.13,-0.03,0.16,-0.00,-0.08,0.00
9.812,0.13,0.06,0.99,0.08,0.24,-0.03,0.16,-0.00,-0.08,0.00
9.865,0.15,0.05,0.99,0.08,0.24,-0.03,0.16,-0.00,-0.08,0.00
9.876,0.15,0.05,0.99,0.08,0.24,-0.03,0.15,-0.08,0.02,0.00
9.876,0.15,0.05,0.99,0.14,-0.03,0.01,0.15,-0.08,0.02,0.00
9.931,0.15,-0.02,0.99,0.14,-0.03,0.01,0.15,-0.08,0.02,0.00
9.944,0.15,-0.02,0.99,0.14,-0.03,0.01,-0.13,-0.19,0.63,0.00
9.944,0.15,-0.02,0.99,0.03,-0.55,0.05,-0.13,-0.19,0.63,0.00
10.007,0.08,-0.06,0.99,0.03,-0.55,0.05,-0.13,-0.19,0.63,0.00
10.009,0.08,-0.06,0.99,0.03,-0.55,0.05,-0.46,0.29,0.93,0.00
10.01,0.08,-0.06,0.99,-0.50,-0.59,-0.02,-0.46,0.29,0.93,0.00
10.063,0.20,-0.01,1.04,-0.50,-0.59,-0.02,-0.46,0.29,0.93,0.00
10.074,0.20,-0.01,1.04,-0.50,-0.59,-0.02,-0.12,-0.18,0.75,0.00
10.074,0.20,-0.01,1.04,1.10,-0.04,0.43,-0.12,-0.18,0.75,0.00
10.129,0.12,0.00,1.01,1.10,-0.04,0.43,-0.12,-0.18,0.75,0.00
10.141,0.12,0.00,1.01,1.10,-0.04,0.43,0.09,-0.18,0.48,0.00
10.142,0.12,0.00,1.01,-0.30,0.17,0.21,0.09,-0.18,0.48,0.00
10.203,0.19,-0.05,1.05,-0.30,0.17,0.21,0.09,-0.18,0.48,0.00
10.206,0.19,-0.05,1.05,-0.30,0.17,0.21,-0.00,-0.16,0.60,0.00
10.206,0.19,-0.05,1.05,0.32,-0.29,0.61,-0.00,-0.16,0.60,0.00
10.261,0.12,-0.04,1.04,0.32,-0.29,0.61,-0.00,-0.16,0.60,0.00
10.272,0.12,-0.04,1.04,0.32,-0.29,0.61,-0.04,0.16,0.57,0.00
10.272,0.12,-0.04,1.04,-0.31,-0.10,0.47,-0.04,0.16,0.57,0.00
10.327,0.07,-0.01,0.92,-0.31,-0.10,0.47,-0.04,0.16,0.57,0.00
10.339,0.07,-0.01,0.92,-0.31,-0.10,0.47,0.04,0.33,0.30,0.00
10.34,0.07,-0.01,0.92,-0.54,0.13,-0.75,0.04,0.33,0.30,0.00
10.434,0.03,-0.04,0.91,-0.54,0.13,-0.75,0.04,0.33,0.30,0.00
10.436,0.03,-0.04,0.91,-0.54,0.13,-0.75,0.01,0.46,0.34,0.00
10.436,0.03,-0.04,0.91,-0.63,-0.09,-0.88,0.01,0.46,0.34,0.00
10.461,0.08,-0.04,0.97,-0.63,-0.09,-0.88,0.01,0.46,0.34,0.00
10.47,0.08,-0.04,0.97,-0.63,-0.09,-0.88,-0.07,0.11,0.66,0.00
10.471,0.08,-0.04,0.97,-0.07,-0.04,-0.28,-0.07,0.11,0.66,0.00
10.543,0.11,0.01,1.10,-0.07,-0.04,-0.28,-0.07,0.11,0.66,0.00
10.546,0.11,0.01,1.10,-0.07,-0.04,-0.28,0.25,0.07,1.39,0.00
10.546,0.11,0.01,1.10,0.30,0.43,0.97,0.25,0.07,1.39,0.00
10.595,0.10,0.05,1.11,0.30,0.43,0.97,0.25,0.07,1.39,0.00
10.606,0.10,0.05,1.11,0.30,0.43,0.97,0.58,-0.15,2.00,0.00
10.607,0.10,0.05,1.11,0.17,0.55,1.14,0.58,-0.15,2.00,0.00
10.658,0.08,0.06,1.05,0.17,0.55,1.14,0.58,-0.15,2.00,0.00
10.676,0.08,0.06,1.05,0.17,0.55,1.14,0.62,0.09,2.59,0.00
10.677,0.08,0.06,1.05,-0.07,0.34,0.56,0.62,0.09,2.59,0.00
10.729,0.03,0.03,1.10,-0.07,0.34,0.56,0.62,0.09,2.59,0.00
10.752,0.03,0.03,1.10,-0.07,0.34,0.56,0.31,0.30,2.74,0.00
10.753,0.03,0.03,1.10,-0.38,0.06,0.40,0.31,0.30,2.74,0.00
10.807,0.11,0.04,0.88,-0.38,0.06,0.40,0.31,0.30,2.74,0.00
10.808,0.11,0.04,0.88,-0.38,0.06,0.40,0.19,0.01,2.04,0.00
10.808,0.11,0.04,0.88,0.35,-0.02,-1.17,0.19,0.01,2.04,0.00
10.862,0.11,0.01,0.99,0.35,-0.02,-1.17,0.19,0.01,2.04,0.00
10.874,0.11,0.01,0.99,0.35,-0.02,-1.17,0.02,-0.27,1.62,0.00
10.875,0.11,0.01,0.99,0.15,-0.16,-0.02,0.02,-0.27,1.62,0.00
10.923,0.14,0.06,1.12,0.15,-0.16,-0.02,0.02,-0.27,1.62,0.00
10.934,0.14,0.06,1.12,0.15,-0.16,-0.02,0.16,-0.12,1.49,0.00
10.937,0.14,0.06,1.12,0.27,0.30,0.71,0.16,-0.12,1.49,0.00
10.987,0.06,0.07,1.00,0.27,0.30,0.71,0.16,-0.12,1.49,0.00
10.998,0.06,0.07,1.00,0.27,0.30,0.71,0.40,0.13,1.15,0.00
10.998,0.06,0.07,1.00,-0.52,0.25,0.03,0.40,0.13,1.15,0.00
11.053,0.12,0.04,0.99,-0.52,0.25,0.03,0.40,0.13,1.15,0.00
11.064,0.12,0.04,0.99,-0.52,0.25,0.03,0.15,0.19,1.22,0.00
11.064,0.12,0.04,0.99,0.22,-0.16,-0.05,0.15,0.19,1.22,0.00
11.14,0.12,0.02,0.94,0.22,-0.16,-0.05,0.15,0.19,1.22,0.00
11.144,0.12,0.02,0.94,0.22,-0.16,-0.05,-0.07,-0.12,1.15,0.00
11.145,0.12,0.02,0.94,0.19,-0.26,-0.53,-0.07,-0.12,1.15,0.00
11.186,0.20,0.02,1.02,0.19,-0.26,-0.53,-0.07,-0.12,1.15,0.00
11.196,0.20,0.02,1.02,0.19,-0.26,-0.53,-0.02,-0.45,0.90,0.00
11.197,0.20,0.02,1.02,0.69,0.04,-0.07,-0.02,-0.45,0.90,0.00
11.274,0.18,0.02,0.94,0.69,0.04,-0.07,-0.02,-0.45,0.90,0.00
11.275,0.18,0.02,0.94,0.69,0.04,-0.07,0.13,-0.55,0.78,0.00
11.276,0.18,0.02,0.94,0.41,0.01,-0.52,0.13,-0.55,0.78,0.00
11.322,0.13,0.03,0.95,0.41,0.01,-0.52,0.13,-0.55,0.78,0.00
11.33,0.13,0.03,0.95,0.41,0.01,-0.52,0.11,0.09,0.87,0.00
11.332,0.13,0.03,0.95,-0.39,0.01,-0.40,0.11,0.09,0.87,0.00
11.383,0.16,0.06,0.93,-0.39,0.01,-0.40,0.11,0.09,0.87,0.00
11.394,0.16,0.06,0.93,-0.39,0.01,-0.40,0.30,0.06,0.71,0.00
11.394,0.16,0.06,0.93,0.07,0.33,-0.54,0.30,0.06,0.71,0.00
11.449,0.22,0.13,1.01,0.07,0.33,-0.54,0.30,0.06,0.71,0.00
11.46,0.22,0.13,1.01,0.07,0.33,-0.54,0.54,-0.20,0.29,0.00
11.46,0.22,0.13,1.01,0.53,0.63,0.25,0.54,-0.20,0.29,0.00
11.55,0.16,0.10,0.97,0.53,0.63,0.25,0.54,-0.20,0.29,0.00
11.555,0.16,0.10,0.97,0.53,0.63,0.25,0.43,0.01,0.25,0.00
11.556,0.16,0.10,0.97,-0.16,0.01,-0.10,0.43,0.01,0.25,0.00
11.581,0.11,-0.07,1.24,-0.16,0.01,-0.10,0.43,0.01,0.25,0.00
11.595,0.11,-0.07,1.24,-0.16,0.01,-0.10,-0.60,0.43,0.78,0.00
11.597,0.11,-0.07,1.24,-0.49,-1.30,2.46,-0.60,0.43,0.78,0.00
11.659,-0.06,0.09,0.98,-0.49,-1.30,2.46,-0.60,0.43,0.78,0.00
11.668,-0.06,0.09,0.98,-0.49,-1.30,2.46,-0.01,1.16,0.68,0.00
11.669,-0.06,0.09,0.98,-1.30,0.51,-1.00,-0.01,1.16,0.68,0.00
11.724,0.13,-0.03,1.04,-1.30,0.51,-1.00,-0.01,1.16,0.68,0.00
11.727,0.13,-0.03,1.04,-1.30,0.51,-1.00,-0.08,0.29,0.32,0.00
11.729,0.13,-0.03,1.04,0.81,-0.61,0.38,-0.08,0.29,0.32,0.00
11.779,0.13,-0.00,1.00,0.81,-0.61,0.38,-0.08,0.29,0.32,0.00
11.79,0.13,-0.00,1.00,0.81,-0.61,0.38,-0.32,-0.57,0.13,0.00
11.791,0.13,-0.00,1.00,0.41,-0.09,0.06,-0.32,-0.57,0.13,0.00
11.855,0.01,0.02,0.97,0.41,-0.09,0.06,-0.32,-0.57,0.13,0.00
11.856,0.01,0.02,0.97,0.41,-0.09,0.06,-0.02,0.01,0.54,0.00
11.857,0.01,0.02,0.97,-0.56,0.03,-0.42,-0.02,0.01,0.54,0.00
11.935,0.09,0.03,1.03,-0.56,0.03,-0.42,-0.02,0.01,0.54,0.00
11.936,0.09,0.03,1.03,-0.56,0.03,-0.42,0.19,0.25,0.64,0.00
11.94,0.09,0.03,1.03,0.30,0.12,0.35,0.19,0.25,0.64,0.00
11.977,0.13,0.03,1.01,0.30,0.12,0.35,0.19,0.25,0.64,0.00
11.988,0.13,0.03,1.01,0.30,0.12,0.35,0.16,-0.30,0.48,0.00
11.989,0.13,0.03,1.01,0.49,0.09,0.08,0.16,-0.30,0.48,0.00
12.065,0.13,0.03,1.01,0.49,0.09,0.08,0.13,-0.43,0.52,0.00
12.067,0.13,0.03,1.01,0.30,0.00,-0.46,0.13,-0.43,0.52,0.00
12.069,0.14,0.02,0.99,0.30,0.00,-0.46,0.13,-0.43,0.52,0.00
12.163,0.13,0.01,1.05,0.30,0.00,-0.46,0.13,-0.43,0.52,0.00
12.166,0.13,0.01,1.05,0.30,0.00,-0.46,0.00,-0.15,0.62,0.00
12.166,0.13,0.01,1.05,-0.10,0.00,0.51,0.00,-0.15,0.62,0.00
12.175,0.09,0.01,1.07,-0.10,0.00,0.51,0.00,-0.15,0.62,0.00
12.186,0.09,0.01,1.07,-0.10,0.00,0.51,0.02,0.12,0.59,0.00
12.186,0.09,0.01,1.07,-0.29,-0.14,0.79,0.02,0.12,0.59,0.00
12.242,0.06,0.03,1.04,-0.29,-0.14,0.79,0.02,0.12,0.59,0.00
12.252,0.06,0.03,1.04,-0.29,-0.14,0.79,-0.04,0.32,0.62,0.00
12.252,0.06,0.03,1.04,-0.41,0.24,0.41,-0.04,0.32,0.62,0.00
12.317,0.22,0.06,0.96,-0.41,0.24,0.41,-0.04,0.32,0.62,0.00
12.362,0.22,0.06,0.96,-0.41,0.24,0.41,0.31,-0.54,0.20,0.00
12.364,0.22,0.06,0.96,0.71,-0.20,1.24,0.31,-0.54,0.20,0.00
12.373,0.26,-0.01,1.24,0.71,-0.20,1.24,0.31,-0.54,0.20,0.00
12.384,0.26,-0.01,1.24,0.71,-0.20,1.24,-0.20,-0.51,0.16,0.00
12.384,0.26,-0.01,1.24,0.94,-0.26,2.52,-0.20,-0.51,0.16,0.00
12.439,0.18,0.06,0.85,0.94,-0.26,2.52,-0.20,-0.51,0.16,0.00
12.45,0.18,0.06,0.85,0.94,-0.26,2.52,0.06,-0.39,-0.19,0.00
12.45,0.18,0.06,0.85,-0.07,0.35,-1.31,0.06,-0.39,-0.19,0.00
12.54,0.09,0.02,0.79,-0.07,0.35,-1.31,0.06,-0.39,-0.19,0.00
12.547,0.09,0.02,0.79,-0.07,0.35,-1.31,0.11,0.19,-0.24,0.00
12.55,0.09,0.02,0.79,-0.61,-0.31,-2.04,0.11,0.19,-0.24,0.00
12.571,0.18,0.06,0.93,-0.61,-0.31,-2.04,0.11,0.19,-0.24,0.00
12.582,0.18,0.06,0.93,-0.61,-0.31,-2.04,0.08,0.06,-0.10,0.00
12.582,0.18,0.06,0.93,0.11,0.23,-0.54,0.08,0.06,-0.10,0.00
12.643,0.17,0.04,0.84,0.11,0.23,-0.54,0.08,0.06,-0.10,0.00
12.648,0.17,0.04,0.84,0.11,0.23,-0.54,0.08,-0.18,-0.07,0.00
12.648,0.17,0.04,0.84,-0.13,-0.01,-1.41,0.08,-0.18,-0.07,0.00
12.703,0.17,0.11,0.97,-0.13,-0.01,-1.41,0.08,-0.18,-0.07,0.00
12.716,0.17,0.11,0.97,-0.13,-0.01,-1.41,0.45,0.15,0.25,0.00
12.717,0.17,0.11,0.97,0.42,0.09,-0.44,0.45,0.15,0.25,0.00
12.775,0.22,0.07,1.00,0.42,0.09,-0.44,0.45,0.15,0.25,0.00
12.786,0.22,0.07,1.00,0.42,0.09,-0.44,0.26,-0.18,0.23,0.00
12.787,0.22,0.07,1.00,0.17,0.06,-0.38,0.26,-0.18,0.23,0.00
12.856,0.22,0.07,1.00,0.17,0.06,-0.38,0.04,0.18,0.56,0.00
12.858,0.22,0.07,1.00,-0.47,-0.06,0.95,0.04,0.18,0.56,0.00
12.859,0.06,0.09,1.04,-0.47,-0.06,0.95,0.04,0.18,0.56,0.00
12.901,0.10,-0.01,0.98,-0.47,-0.06,0.95,0.04,0.18,0.56,0.00
12.916,0.10,-0.01,0.98,-0.47,-0.06,0.95,-0.27,0.63,0.34,0.00
12.917,0.10,-0.01,0.98,-0.29,-0.89,0.22,-0.27,0.63,0.34,0.00
12.987,0.06,-0.07,1.21,-0.29,-0.89,0.22,-0.27,0.63,0.34,0.00
12.99,0.06,-0.07,1.21,-0.29,-0.89,0.22,-0.71,0.45,0.19,0.00
12.99,0.06,-0.07,1.21,0.05,-0.80,3.18,-0.71,0.45,0.19,0.00
13.053,0.06,-0.07,1.21,0.05,-0.80,3.18,-0.29,0.08,0.27,0.00
13.055,0.06,-0.07,1.21,0.69,0.29,3.11,-0.29,0.08,0.27,0.00
