time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
13.056,0.19,0.06,1.16,0.69,0.29,3.11,-0.29,0.08,0.27,0.00
13.1,0.16,0.06,0.79,0.69,0.29,3.11,-0.29,0.08,0.27,0.00
13.112,0.16,0.06,0.79,0.69,0.29,3.11,0.47,-0.46,0.19,0.00
13.113,0.16,0.06,0.79,0.36,0.38,-1.97,0.47,-0.46,0.19,0.00
13.173,0.15,-0.05,0.93,0.36,0.38,-1.97,0.47,-0.46,0.19,0.00
13.176,0.15,-0.05,0.93,0.36,0.38,-1.97,-0.26,-0.34,0.01,0.00
13.177,0.15,-0.05,0.93,0.21,-0.40,-0.46,-0.26,-0.34,0.01,0.00
13.262,0.24,-0.01,0.83,0.21,-0.40,-0.46,-0.26,-0.34,0.01,0.00
13.265,0.24,-0.01,0.83,0.21,-0.40,-0.46,-0.21,-0.60,-0.22,0.00
13.267,0.24,-0.01,0.83,0.61,-0.05,-1.53,-0.21,-0.60,-0.22,0.00
13.297,0.13,0.03,0.90,0.61,-0.05,-1.53,-0.21,-0.60,-0.22,0.00
13.309,0.13,0.03,0.90,0.61,-0.05,-1.53,0.31,0.20,0.25,0.00
13.31,0.13,0.03,0.90,-0.57,0.23,-0.77,0.31,0.20,0.25,0.00
13.364,0.21,0.06,1.23,-0.57,0.23,-0.77,0.31,0.20,0.25,0.00
13.374,0.21,0.06,1.23,-0.57,0.23,-0.77,0.28,0.18,0.30,0.00
13.374,0.21,0.06,1.23,0.40,0.33,2.44,0.28,0.18,0.30,0.00
13.48,0.20,0.09,1.14,0.40,0.33,2.44,0.28,0.18,0.30,0.00
13.484,0.20,0.09,1.14,0.40,0.33,2.44,0.35,-0.04,0.06,0.00
13.485,0.20,0.09,1.14,0.28,0.45,1.52,0.35,-0.04,0.06,0.00
13.496,0.14,0.00,1.15,0.28,0.45,1.52,0.35,-0.04,0.06,0.00
13.511,0.14,0.00,1.15,0.28,0.45,1.52,-0.06,0.16,0.04,0.00
13.514,0.14,0.00,1.15,-0.26,-0.42,1.64,-0.06,0.16,0.04,0.00
13.586,0.05,0.05,0.98,-0.26,-0.42,1.64,-0.06,0.16,0.04,0.00
13.588,0.05,0.05,0.98,-0.26,-0.42,1.64,-0.22,0.52,0.03,0.00
13.589,0.05,0.05,0.98,-0.89,-0.18,0.12,-0.22,0.52,0.03,0.00
13.644,0.09,0.06,1.02,-0.89,-0.18,0.12,-0.22,0.52,0.03,0.00
13.645,0.09,0.06,1.02,-0.89,-0.18,0.12,0.04,0.26,-0.13,0.00
13.646,0.09,0.06,1.02,-0.24,0.26,0.23,0.04,0.26,-0.13,0.00
13.693,0.32,0.09,0.92,-0.24,0.26,0.23,0.04,0.26,-0.13,0.00
13.706,0.32,0.09,0.92,-0.24,0.26,0.23,0.20,-1.02,-0.69,0.00
13.706,0.32,0.09,0.92,1.71,0.10,-1.10,0.20,-1.02,-0.69,0.00
13.767,0.24,0.03,0.94,1.71,0.10,-1.10,0.20,-1.02,-0.69,0.00
13.771,0.24,0.03,0.94,1.71,0.10,-1.10,-0.23,-1.04,-0.65,0.00
13.771,0.24,0.03,0.94,0.02,-0.27,-0.32,-0.23,-1.04,-0.65,0.00
13.853,0.10,0.10,0.83,0.02,-0.27,-0.32,-0.23,-1.04,-0.65,0.00
13.856,0.10,0.10,0.83,0.02,-0.27,-0.32,0.21,0.43,0.15,0.00
13.858,0.10,0.10,0.83,-1.18,0.37,-1.38,0.21,0.43,0.15,0.00
13.892,0.26,0.11,0.92,-1.18,0.37,-1.38,0.21,0.43,0.15,0.00
13.907,0.26,0.11,0.92,-1.18,0.37,-1.38,0.37,-0.06,-0.02,0.00
13.909,0.26,0.11,0.92,1.08,0.30,-0.46,0.37,-0.06,-0.02,0.00
13.975,0.32,0.11,1.01,1.08,0.30,-0.46,0.37,-0.06,-0.02,0.00
13.976,0.32,0.11,1.01,1.08,0.30,-0.46,0.09,-0.95,-0.21,0.00
13.976,0.32,0.11,1.01,0.39,0.08,0.56,0.09,-0.95,-0.21,0.00
14.024,0.23,0.01,1.18,0.39,0.08,0.56,0.09,-0.95,-0.21,0.00
14.034,0.23,0.01,1.18,0.39,0.08,0.56,-0.08,0.62,0.75,0.00
14.034,0.23,0.01,1.18,-0.18,-0.82,2.08,-0.08,0.62,0.75,0.00
14.089,0.18,-0.03,1.18,-0.18,-0.82,2.08,-0.08,0.62,0.75,0.00
14.101,0.18,-0.03,1.18,-0.18,-0.82,2.08,-0.61,0.66,0.60,0.00
14.102,0.18,-0.03,1.18,-0.36,-0.76,2.05,-0.61,0.66,0.60,0.00
14.168,0.15,-0.00,0.88,-0.36,-0.76,2.05,-0.61,0.66,0.60,0.00
14.174,0.15,-0.00,0.88,-0.36,-0.76,2.05,-0.26,0.38,0.31,0.00
14.175,0.15,-0.00,0.88,-0.32,-0.23,-1.02,-0.26,0.38,0.31,0.00
14.222,0.22,-0.03,0.94,-0.32,-0.23,-1.02,-0.26,0.38,0.31,0.00
14.232,0.22,-0.03,0.94,-0.32,-0.23,-1.02,-0.36,-0.21,0.05,0.00
14.233,0.22,-0.03,0.94,0.24,-0.26,-0.41,-0.36,-0.21,0.05,0.00
14.293,0.11,-0.01,0.83,0.24,-0.26,-0.41,-0.36,-0.21,0.05,0.00
14.299,0.11,-0.01,0.83,0.24,-0.26,-0.41,-0.11,0.13,0.31,0.00
14.3,0.11,-0.01,0.83,-0.76,0.09,-1.48,-0.11,0.13,0.31,0.00
14.395,0.24,0.02,0.82,-0.76,0.09,-1.48,-0.11,0.13,0.31,0.00
14.397,0.24,0.02,0.82,-0.76,0.09,-1.48,0.16,-0.35,0.08,0.00
14.398,0.24,0.02,0.82,0.06,0.29,-1.63,0.16,-0.35,0.08,0.00
14.421,0.14,-0.05,0.99,0.06,0.29,-1.63,0.16,-0.35,0.08,0.00
14.43,0.14,-0.05,0.99,0.06,0.29,-1.63,0.01,0.12,0.48,0.00
14.431,0.14,-0.05,0.99,-0.59,-0.36,0.06,0.01,0.12,0.48,0.00
14.486,0.25,-0.03,1.14,-0.59,-0.36,0.06,0.01,0.12,0.48,0.00
14.497,0.25,-0.03,1.14,-0.59,-0.36,0.06,-0.02,0.03,0.66,0.00
14.501,0.25,-0.03,1.14,0.61,-0.05,1.59,-0.02,0.03,0.66,0.00
14.563,0.27,-0.00,1.19,0.61,-0.05,1.59,-0.02,0.03,0.66,0.00
14.565,0.27,-0.00,1.19,0.61,-0.05,1.59,0.31,-0.29,0.42,0.00
14.566,0.27,-0.00,1.19,0.64,0.07,2.03,0.31,-0.29,0.42,0.00
14.617,0.11,-0.07,1.11,0.64,0.07,2.03,0.31,-0.29,0.42,0.00
14.628,0.11,-0.07,1.11,0.64,0.07,2.03,-0.15,0.25,0.47,0.00
14.628,0.11,-0.07,1.11,-0.83,-0.49,1.30,-0.15,0.25,0.47,0.00
14.701,-0.01,0.03,0.80,-0.83,-0.49,1.30,-0.15,0.25,0.47,0.00
14.711,-0.01,0.03,0.80,-0.83,-0.49,1.30,0.09,1.04,0.61,0.00
14.718,-0.01,0.03,0.80,-0.98,0.60,-2.24,0.09,1.04,0.61,0.00
14.761,0.23,-0.02,0.94,-0.98,0.60,-2.24,0.09,1.04,0.61,0.00
14.764,0.23,-0.02,0.94,-0.98,0.60,-2.24,0.17,-0.03,-0.09,0.00
14.764,0.23,-0.02,0.94,1.17,-0.15,-0.49,0.17,-0.03,-0.09,0.00
14.815,0.42,0.00,1.03,1.17,-0.15,-0.49,0.17,-0.03,-0.09,0.00
14.826,0.42,0.00,1.03,1.17,-0.15,-0.49,-0.12,-1.68,-0.74,0.00
14.826,0.42,0.00,1.03,1.59,0.43,0.30,-0.12,-1.68,-0.74,0.00
14.893,0.22,0.04,0.92,1.59,0.43,0.30,-0.12,-1.68,-0.74,0.00
14.906,0.22,0.04,0.92,1.59,0.43,0.30,0.25,-0.95,-0.17,0.00
14.906,0.22,0.04,0.92,-0.87,0.18,-0.65,0.25,-0.95,-0.17,0.00
14.947,0.20,0.02,0.85,-0.87,0.18,-0.65,0.25,-0.95,-0.17,0.00
14.958,0.20,0.02,0.85,-0.87,0.18,-0.65,0.17,0.21,0.18,0.00
14.958,0.20,0.02,0.85,-0.67,-0.04,-1.14,0.17,0.21,0.18,0.00
15.014,0.32,-0.01,0.91,-0.67,-0.04,-1.14,0.17,0.21,0.18,0.00
15.024,0.32,-0.01,0.91,-0.67,-0.04,-1.14,-0.21,-0.31,-0.21,0.00
15.024,0.32,-0.01,0.91,0.44,-0.30,-0.08,-0.21,-0.31,-0.21,0.00
15.087,0.19,0.02,1.05,0.44,-0.30,-0.08,-0.21,-0.31,-0.21,0.00
15.094,0.19,0.02,1.05,0.44,-0.30,-0.08,-0.11,0.11,0.05,0.00
15.094,0.19,0.02,1.05,-0.88,0.16,0.83,-0.11,0.11,0.05,0.00
15.145,0.13,-0.04,1.24,-0.88,0.16,0.83,-0.11,0.11,0.05,0.00
15.156,0.13,-0.04,1.24,-0.88,0.16,0.83,-0.09,1.07,0.47,0.00
15.157,0.13,-0.04,1.24,-0.78,-0.34,2.55,-0.09,1.07,0.47,0.00
15.214,0.17,-0.01,1.14,-0.78,-0.34,2.55,-0.09,1.07,0.47,0.00
15.229,0.17,-0.01,1.14,-0.78,-0.34,2.55,-0.07,0.55,0.16,0.00
15.231,0.17,-0.01,1.14,0.02,0.10,1.55,-0.07,0.55,0.16,0.00
15.285,0.20,0.00,0.92,0.02,0.10,1.55,-0.07,0.55,0.16,0.00
15.29,0.20,0.00,0.92,0.02,0.10,1.55,0.11,0.17,0.12,0.00
15.291,0.20,0.00,0.92,0.44,0.10,-0.64,0.11,0.17,0.12,0.00
15.343,0.15,0.00,0.85,0.44,0.10,-0.64,0.11,0.17,0.12,0.00
15.354,0.15,0.00,0.85,0.44,0.10,-0.64,0.10,-0.21,-0.12,0.00
15.355,0.15,0.00,0.85,-0.30,0.03,-1.30,0.10,-0.21,-0.12,0.00
15.428,0.06,-0.03,0.91,-0.30,0.03,-1.30,0.10,-0.21,-0.12,0.00
15.431,0.06,-0.03,0.91,-0.30,0.03,-1.30,-0.07,0.49,0.25,0.00
15.432,0.06,-0.03,0.91,-0.31,-0.12,-0.54,-0.07,0.49,0.25,0.00
15.505,0.21,-0.04,0.91,-0.31,-0.12,-0.54,-0.07,0.49,0.25,0.00
15.507,0.21,-0.04,0.91,-0.31,-0.12,-0.54,-0.16,-0.28,-0.08,0.00
15.508,0.21,-0.04,0.91,0.24,0.03,-0.64,-0.16,-0.28,-0.08,0.00
15.542,0.19,-0.04,1.01,0.24,0.03,-0.64,-0.16,-0.28,-0.08,0.00
15.552,0.19,-0.04,1.01,0.24,0.03,-0.64,-0.08,-0.22,0.09,0.00
15.553,0.19,-0.04,1.01,0.19,-0.15,0.25,-0.08,-0.22,0.09,0.00
15.608,0.20,-0.05,1.17,0.19,-0.15,0.25,-0.08,-0.22,0.09,0.00
15.618,0.20,-0.05,1.17,0.19,-0.15,0.25,-0.08,-0.07,0.40,0.00
15.618,0.20,-0.05,1.17,0.14,-0.18,1.81,-0.08,-0.07,0.40,0.00
15.681,0.16,-0.04,1.08,0.14,-0.18,1.81,-0.08,-0.07,0.40,0.00
15.686,0.16,-0.04,1.08,0.14,-0.18,1.81,0.09,0.16,0.39,0.00
15.687,0.16,-0.04,1.08,-0.04,-0.08,0.88,0.09,0.16,0.39,0.00
15.739,0.08,-0.01,0.95,-0.04,-0.08,0.88,0.09,0.16,0.39,0.00
15.75,0.08,-0.01,0.95,-0.04,-0.08,0.88,-0.01,0.43,0.22,0.00
15.751,0.08,-0.01,0.95,-1.05,0.24,-0.34,-0.01,0.43,0.22,0.00
15.825,0.02,0.05,0.83,-1.05,0.24,-0.34,-0.01,0.43,0.22,0.00
15.828,0.02,0.05,0.83,-1.05,0.24,-0.34,0.46,0.72,0.12,0.00
15.828,0.02,0.05,0.83,-0.71,0.55,-1.59,0.46,0.72,0.12,0.00
15.895,0.16,0.00,0.97,-0.71,0.55,-1.59,0.46,0.72,0.12,0.00
15.899,0.16,0.00,0.97,-0.71,0.55,-1.59,0.24,0.07,-0.15,0.00
15.899,0.16,0.00,0.97,1.21,-0.08,-0.00,0.24,0.07,-0.15,0.00
15.938,0.25,0.04,0.95,1.21,-0.08,-0.00,0.24,0.07,-0.15,0.00
15.948,0.25,0.04,0.95,1.21,-0.08,-0.00,0.17,-1.03,-0.31,0.00
15.949,0.25,0.04,0.95,0.90,0.63,-0.29,0.17,-1.03,-0.31,0.00
16.017,0.21,0.11,0.93,0.90,0.63,-0.29,0.17,-1.03,-0.31,0.00
16.021,0.21,0.11,0.93,0.90,0.63,-0.29,0.64,-0.61,0.06,0.00
16.022,0.21,0.11,0.93,0.13,0.59,-0.44,0.64,-0.61,0.06,0.00
16.106,0.28,0.10,0.85,0.13,0.59,-0.44,0.64,-0.61,0.06,0.00
16.109,0.28,0.10,0.85,0.13,0.59,-0.44,0.41,-0.63,-0.26,0.00
16.11,0.28,0.10,0.85,0.48,0.06,-0.84,0.41,-0.63,-0.26,0.00
16.136,0.28,0.11,0.98,0.48,0.06,-0.84,0.41,-0.63,-0.26,0.00
16.146,0.28,0.11,0.98,0.48,0.06,-0.84,0.11,-0.42,-0.26,0.00
16.146,0.28,0.11,0.98,0.24,-0.09,0.62,0.11,-0.42,-0.26,0.00
16.206,0.23,0.05,1.07,0.24,-0.09,0.62,0.11,-0.42,-0.26,0.00
16.212,0.23,0.05,1.07,0.24,-0.09,0.62,-0.24,-0.01,-0.16,0.00
16.213,0.23,0.05,1.07,-0.32,-0.41,1.04,-0.24,-0.01,-0.16,0.00
16.305,0.23,-0.03,1.03,-0.32,-0.41,1.04,-0.24,-0.01,-0.16,0.00
16.308,0.23,-0.03,1.03,-0.32,-0.41,1.04,-0.61,0.29,-0.26,0.00
16.308,0.23,-0.03,1.03,-0.63,-0.90,0.65,-0.61,0.29,-0.26,0.00
16.335,0.15,0.02,1.15,-0.63,-0.90,0.65,-0.61,0.29,-0.26,0.00
16.344,0.15,0.02,1.15,-0.63,-0.90,0.65,-0.41,0.63,-0.10,0.00
16.344,0.15,0.02,1.15,0.09,-0.23,2.27,-0.41,0.63,-0.10,0.00
16.407,0.18,0.03,1.16,0.09,-0.23,2.27,-0.41,0.63,-0.10,0.00
16.411,0.18,0.03,1.16,0.09,-0.23,2.27,-0.13,0.35,0.11,0.00
16.413,0.18,0.03,1.16,-0.03,0.28,1.07,-0.13,0.35,0.11,0.00
16.501,0.19,0.05,0.75,-0.03,0.28,1.07,-0.13,0.35,0.11,0.00
16.506,0.19,0.05,0.75,-0.03,0.28,1.07,0.16,-0.21,0.17,0.00
16.507,0.19,0.05,0.75,0.02,0.23,-2.28,0.16,-0.21,0.17,0.00
16.532,0.12,0.02,0.80,0.02,0.23,-2.28,0.16,-0.21,0.17,0.00
16.542,0.12,0.02,0.80,0.02,0.23,-2.28,0.14,0.05,0.36,0.00
16.543,0.12,0.02,0.80,-0.60,-0.09,-1.81,0.14,0.05,0.36,0.00
16.604,0.22,-0.00,0.93,-0.60,-0.09,-1.81,0.14,0.05,0.36,0.00
16.609,0.22,-0.00,0.93,-0.60,-0.09,-1.81,-0.14,-0.23,0.31,0.00
16.61,0.22,-0.00,0.93,0.25,-0.23,-0.47,-0.14,-0.23,0.31,0.00
16.672,0.05,0.02,1.04,0.25,-0.23,-0.47,-0.14,-0.23,0.31,0.00
16.677,0.05,0.02,1.04,0.25,-0.23,-0.47,0.15,0.61,1.11,0.00
16.677,0.05,0.02,1.04,-1.18,0.12,0.51,0.15,0.61,1.11,0.00
16.729,0.18,0.02,1.23,-1.18,0.12,0.51,0.15,0.61,1.11,0.00
16.74,0.18,0.02,1.23,-1.18,0.12,0.51,0.14,0.37,0.84,0.00
16.74,0.18,0.02,1.23,0.44,0.10,2.38,0.14,0.37,0.84,0.00
16.802,0.28,0.03,1.11,0.44,0.10,2.38,0.14,0.37,0.84,0.00
16.806,0.28,0.03,1.11,0.44,0.10,2.38,0.13,-0.52,0.05,0.00
16.806,0.28,0.03,1.11,1.24,-0.18,0.84,0.13,-0.52,0.05,0.00
16.862,0.13,0.01,1.15,1.24,-0.18,0.84,0.13,-0.52,0.05,0.00
16.925,0.13,0.01,1.15,1.24,-0.18,0.84,-0.22,-0.18,-0.23,0.00
16.927,0.13,0.01,1.15,-0.44,-0.06,1.58,-0.22,-0.18,-0.23,0.00
16.928,0.07,0.10,0.79,-0.44,-0.06,1.58,-0.22,-0.18,-0.23,0.00
16.938,0.07,0.10,0.79,-0.44,-0.06,1.58,0.23,0.48,-0.13,0.00
16.938,0.07,0.10,0.79,-0.75,0.78,-1.94,0.23,0.48,-0.13,0.00
16.993,0.13,0.09,0.93,-0.75,0.78,-1.94,0.23,0.48,-0.13,0.00
17.004,0.13,0.09,0.93,-0.75,0.78,-1.94,0.42,0.14,-0.49,0.00
17.005,0.13,0.09,0.93,0.03,0.24,-0.26,0.42,0.14,-0.49,0.00
17.059,0.27,0.07,0.89,0.03,0.24,-0.26,0.42,0.14,-0.49,0.00
17.115,0.27,0.07,0.89,0.03,0.24,-0.26,-0.06,-0.81,-1.00,0.00
17.117,0.27,0.07,0.89,1.02,-0.07,-0.93,-0.06,-0.81,-1.00,0.00
17.126,0.22,0.07,0.83,1.02,-0.07,-0.93,-0.06,-0.81,-1.00,0.00
17.137,0.22,0.07,0.83,1.02,-0.07,-0.93,-0.11,-0.93,-0.82,0.00
17.142,0.22,0.07,0.83,-0.05,-0.04,-1.42,-0.11,-0.93,-0.82,0.00
17.215,0.18,0.07,0.93,-0.05,-0.04,-1.42,-0.11,-0.93,-0.82,0.00
17.217,0.18,0.07,0.93,-0.05,-0.04,-1.42,-0.00,-0.16,-0.37,0.00
17.218,0.18,0.07,0.93,-0.53,-0.05,-0.74,-0.00,-0.16,-0.37,0.00
17.258,0.18,0.11,0.96,-0.53,-0.05,-0.74,-0.00,-0.16,-0.37,0.00
17.27,0.18,0.11,0.96,-0.53,-0.05,-0.74,0.04,0.29,0.00,0.00
17.271,0.18,0.11,0.96,-0.31,0.30,-0.12,0.04,0.29,0.00,0.00
17.331,0.41,0.21,1.14,-0.31,0.30,-0.12,0.04,0.29,0.00,0.00
17.34,0.41,0.21,1.14,-0.31,0.30,-0.12,0.89,-0.09,0.41,0.00
17.341,0.41,0.21,1.14,1.98,0.74,1.67,0.89,-0.09,0.41,0.00
17.408,0.27,0.07,1.16,1.98,0.74,1.67,0.89,-0.09,0.41,0.00
17.413,0.27,0.07,1.16,1.98,0.74,1.67,0.25,-0.48,0.02,0.00
17.414,0.27,0.07,1.16,0.55,-0.02,1.13,0.25,-0.48,0.02,0.00
17.455,0.01,0.08,1.08,0.55,-0.02,1.13,0.25,-0.48,0.02,0.00
17.467,0.01,0.08,1.08,0.55,-0.02,1.13,-0.34,1.08,0.65,0.00
17.468,0.01,0.08,1.08,-1.65,-0.27,-0.21,-0.34,1.08,0.65,0.00
17.526,0.10,0.03,0.84,-1.65,-0.27,-0.21,-0.34,1.08,0.65,0.00
17.532,0.10,0.03,0.84,-1.65,-0.27,-0.21,-0.22,0.75,0.34,0.00
17.533,0.10,0.03,0.84,-0.39,-0.58,-1.39,-0.22,0.75,0.34,0.00
17.611,0.17,0.01,1.01,-0.39,-0.58,-1.39,-0.22,0.75,0.34,0.00
17.612,0.17,0.01,1.01,-0.39,-0.58,-1.39,-0.51,0.16,0.24,0.00
17.613,0.17,0.01,1.01,0.55,-0.42,0.15,-0.51,0.16,0.24,0.00
17.653,0.09,0.07,0.96,0.55,-0.42,0.15,-0.51,0.16,0.24,0.00
17.665,0.09,0.07,0.96,0.55,-0.42,0.15,0.05,-0.06,0.59,0.00
17.666,0.09,0.07,0.96,-0.43,0.33,-0.26,0.05,-0.06,0.59,0.00
17.719,0.14,0.11,0.94,-0.43,0.33,-0.26,0.05,-0.06,0.59,0.00
17.731,0.14,0.11,0.94,-0.43,0.33,-0.26,0.47,0.07,0.76,0.00
17.732,0.14,0.11,0.94,0.16,0.46,-0.45,0.47,0.07,0.76,0.00
17.792,0.09,0.12,0.97,0.16,0.46,-0.45,0.47,0.07,0.76,0.00
17.799,0.09,0.12,0.97,0.16,0.46,-0.45,0.80,0.16,0.80,0.00
17.8,0.09,0.12,0.97,-0.38,0.19,-0.13,0.80,0.16,0.80,0.00
17.851,0.10,0.03,1.10,-0.38,0.19,-0.13,0.80,0.16,0.80,0.00
17.865,0.10,0.03,1.10,-0.38,0.19,-0.13,-0.23,0.26,0.11,0.00
17.866,0.10,0.03,1.10,-0.06,-0.65,1.09,-0.23,0.26,0.11,0.00
17.921,0.25,0.02,1.23,-0.06,-0.65,1.09,-0.23,0.26,0.11,0.00
17.928,0.25,0.02,1.23,-0.06,-0.65,1.09,-0.59,-0.35,-0.49,0.00
17.928,0.25,0.02,1.23,1.27,-0.37,2.30,-0.59,-0.35,-0.49,0.00
18.022,0.32,0.04,1.04,1.27,-0.37,2.30,-0.59,-0.35,-0.49,0.00
18.033,0.32,0.04,1.04,1.27,-0.37,2.30,-0.35,-0.88,-0.90,0.00
18.034,0.32,0.04,1.04,1.42,-0.07,0.55,-0.35,-0.88,-0.90,0.00
18.049,0.12,-0.00,0.99,1.42,-0.07,0.55,-0.35,-0.88,-0.90,0.00
18.061,0.12,-0.00,0.99,1.42,-0.07,0.55,-0.45,-0.31,-0.92,0.00
18.062,0.12,-0.00,0.99,-0.80,-0.32,0.11,-0.45,-0.31,-0.92,0.00
18.123,0.04,0.05,0.91,-0.80,-0.32,0.11,-0.45,-0.31,-0.92,0.00
18.126,0.04,0.05,0.91,-0.80,-0.32,0.11,-0.08,0.68,-0.43,0.00
18.127,0.04,0.05,0.91,-1.18,0.31,-0.78,-0.08,0.68,-0.43,0.00
18.19,0.16,0.07,0.89,-1.18,0.31,-0.78,-0.08,0.68,-0.43,0.00
18.193,0.16,0.07,0.89,-1.18,0.31,-0.78,0.18,0.20,-0.60,0.00
18.199,0.16,0.07,0.89,0.27,0.32,-0.96,0.18,0.20,-0.60,0.00
18.247,0.24,0.13,0.78,0.27,0.32,-0.96,0.18,0.20,-0.60,0.00
18.259,0.24,0.13,0.78,0.27,0.32,-0.96,0.41,-0.92,-0.89,0.00
18.26,0.24,0.13,0.78,0.46,0.51,-1.98,0.41,-0.92,-0.89,0.00
18.324,0.12,0.15,0.80,0.46,0.51,-1.98,0.41,-0.92,-0.89,0.00
18.326,0.12,0.15,0.80,0.46,0.51,-1.98,0.55,-0.15,-0.43,0.00
18.327,0.12,0.15,0.80,-0.83,0.33,-1.70,0.55,-0.15,-0.43,0.00
18.414,0.14,0.20,0.88,-0.83,0.33,-1.70,0.55,-0.15,-0.43,0.00
18.416,0.14,0.20,0.88,-0.83,0.33,-1.70,0.74,0.40,0.12,0.00
18.417,0.14,0.20,0.88,-0.42,0.36,-0.91,0.74,0.40,0.12,0.00
18.445,0.28,0.20,1.02,-0.42,0.36,-0.91,0.74,0.40,0.12,0.00
18.46,0.28,0.20,1.02,-0.42,0.36,-0.91,0.22,-0.43,-0.11,0.00
18.465,0.28,0.20,1.02,0.65,0.15,1.42,0.22,-0.43,-0.11,0.00
18.512,0.21,0.12,1.26,0.65,0.15,1.42,0.22,-0.43,-0.11,0.00
18.522,0.21,0.12,1.26,0.65,0.15,1.42,-0.18,0.15,0.25,0.00
18.522,0.21,0.12,1.26,0.04,-0.55,2.88,-0.18,0.15,0.25,0.00
18.631,0.03,0.13,1.25,0.04,-0.55,2.88,-0.18,0.15,0.25,0.00
18.634,0.03,0.13,1.25,0.04,-0.55,2.88,-0.52,0.92,0.64,0.00
18.635,0.03,0.13,1.25,-1.23,-0.08,2.68,-0.52,0.92,0.64,0.00
18.647,0.12,0.11,0.92,-1.23,-0.08,2.68,-0.52,0.92,0.64,0.00
18.655,0.12,0.11,0.92,-1.23,-0.08,2.68,-0.02,0.42,0.64,0.00
18.657,0.12,0.11,0.92,-0.42,-0.28,-1.22,-0.02,0.42,0.64,0.00
18.71,0.08,0.08,1.06,-0.42,-0.28,-1.22,-0.02,0.42,0.64,0.00
18.72,0.08,0.08,1.06,-0.42,-0.28,-1.22,-0.18,0.49,1.04,0.00
18.721,0.08,0.08,1.06,-0.09,-0.33,0.64,-0.18,0.49,1.04,0.00
18.783,0.13,0.06,0.85,-0.09,-0.33,0.64,-0.18,0.49,1.04,0.00
18.792,0.13,0.06,0.85,-0.09,-0.33,0.64,-0.10,-0.03,1.08,0.00
18.793,0.13,0.06,0.85,0.36,-0.36,-1.38,-0.10,-0.03,1.08,0.00
18.842,0.11,-0.04,0.82,0.36,-0.36,-1.38,-0.10,-0.03,1.08,0.00
18.864,0.11,-0.04,0.82,0.36,-0.36,-1.38,-0.60,-0.19,0.63,0.00
18.866,0.11,-0.04,0.82,0.03,-1.00,-1.69,-0.60,-0.19,0.63,0.00
18.917,0.14,-0.18,0.87,0.03,-1.00,-1.69,-0.60,-0.19,0.63,0.00
18.918,0.14,-0.18,0.87,0.03,-1.00,-1.69,-1.28,-0.50,-0.19,0.00
18.919,0.14,-0.18,0.87,0.35,-1.30,-1.50,-1.28,-0.50,-0.19,0.00
18.973,0.16,-0.24,1.07,0.35,-1.30,-1.50,-1.28,-0.50,-0.19,0.00
18.984,0.16,-0.24,1.07,0.35,-1.30,-1.50,-1.58,-0.12,-0.36,0.00
18.984,0.16,-0.24,1.07,0.14,-0.98,0.87,-1.58,-0.12,-0.36,0.00
